bin_number,card_name,note
356003,BC카드,(기업)
356023,BC카드,(SC제일)
3560XX,BC카드,(실버)
356296,신한카드,"(체크,단종)"
356297,신한카드,(URS)
356298,신한카드,
356316,NH농협카드,(실버)
356317,NH농협카드,(골드)
356323,BC카드,(SC제일)
3563XX,BC카드,(골드)
356407,KB국민카드,(K-World 골드)
356415,KB국민카드,(K-World 골드)
356416,KB국민카드,(K-World 골드)
356417,KB국민카드,(K-World 골드)
356418,NH농협카드,(W)
356516,NH농협카드,(W)
356523,BC카드,(SC제일)
356543,하나카드,(One Way)
356545,하나카드,(One Way)
3565XX,BC카드,(법인)
356820,"우리카드,BC카드",
356878,신한카드,
356900,신한카드,(실버)
356901,신한카드,(골드)
356902,신한카드,(법인)
356908,신한카드,
356910,KB국민카드,(법인)
356911,KB국민카드,(실버)
356912,KB국민카드,(골드)
356914,롯데카드,(실버)
356915,롯데카드,(골드)
356916,롯데카드,(법인)
361653,현대카드,
370299,현대카드,
370300,현대카드,
371001,하나카드,
376250,롯데카드,
376277,롯데카드,
376364,KB국민카드,(TANTUM)
376365,KB국민카드,(이마트 신용카드)
377178,신한카드,
377969,하나카드,
377983,신한카드,
377988,신한카드,
377989,삼성카드,
379183,삼성카드,
379192,하나카드,
379971,하나카드,
400278,신한카드,
4005XX,씨티카드,
400772,신한카드,
400912,삼성카드,
400913,삼성카드,
400978,하나카드,
401762,현대카드,(신용 VISA Classic)
401787,현대카드,(신용 Visa Platinum)
401898,씨티카드,
402017,현대카드,
402072,현대카드,
402367,하나카드,(체크)
402857,현대카드,"(M, X, 제로)"
403290,KB국민카드,(PAYCO 포인트 카드)
403302,현대카드,
403965,신한카드,
404577,현대카드,
404678,"신한카드,BC카드",
404720,우리카드,
404803,BC카드,(기업)
404825,BC카드,
404947,현대카드,
405203,BC카드,(기업)
405753,신한카드,(선불)
4061XX,우리카드,"(수호랑 위비FIVE, 슈퍼마일 체크)"
4062XX,우리카드,"(수호랑 위비FIVE, 슈퍼마일 체크)"
406357,씨티카드,(신세계 플래티늄카드)
4063XX,우리카드,"(수호랑 위비FIVE, 슈퍼마일 체크)"
4064XX,우리카드,"(수호랑 위비FIVE, 슈퍼마일 체크)"
4065XX,우리카드,"(수호랑 위비FIVE, 슈퍼마일 체크)"
407916,NH농협카드,
407917,NH농협카드,
408320,우리카드,
408966,하나카드,(체크)
409085,BC카드,(SC제일)
409216,NH농협카드,
409217,NH농협카드,
410109,씨티카드,
411171,BC카드,(우체국)
411471,BC카드,(우체국)
411900,하나카드,(플래티늄)
411904,하나카드,(넘버앤카드)
411905,하나카드,
412020,우리카드,
413526,현대카드,
414025,BC카드,(법인)
414710,롯데카드,
4162XX,하나BC,토스신용카드
416339,BC카드,(경남)
4172XX,현대카드,
418123,현대카드,
418236,하나카드,(시그니처 카드)
419803,BC카드,(기업)
420189,하나카드,
420707,하나카드,
421134,하나카드,
421417,수협중앙회,(체크)
421418,수협중앙회,(플래티늄)
421420,우리카드,(체크)
421468,롯데카드,(체크)
422155,신한카드,(신용)
422190,수협중앙회,(기프트카드)
422727,씨티카드,(체크)
